#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
CI|APL||HNE|35.341492|-116.874641|959.0|0.0|90.0|0.0|EPISENSOR ES-T,ACCELEROMETER,KINEMETRICS|213815.0|1.0|M/S**2|100.0|2016-11-07T00:00:00|
CI|APL||HNN|35.341492|-116.874641|959.0|0.0|0.0|0.0|EPISENSOR ES-T,ACCELEROMETER,KINEMETRICS|213815.0|1.0|M/S**2|100.0|2016-11-07T00:00:00|
CI|APL||HNZ|35.341492|-116.874641|959.0|0.0|0.0|-90.0|EPISENSOR ES-T,ACCELEROMETER,KINEMETRICS|213815.0|1.0|M/S**2|100.0|2016-11-07T00:00:00|
CI|APL|2C|HNE|35.341492|-116.874641|959.0|0.0|90.0|0.0|EPISENSOR ES-T,ACCELEROMETER,KINEMETRICS|213833.0|1.0|M/S**2|200.0|2016-11-07T00:00:00|
CI|APL|2C|HNN|35.341492|-116.874641|959.0|0.0|0.0|0.0|EPISENSOR ES-T,ACCELEROMETER,KINEMETRICS|213833.0|1.0|M/S**2|200.0|2016-11-07T00:00:00|
CI|APL|2C|HNZ|35.341492|-116.874641|959.0|0.0|0.0|-90.0|EPISENSOR ES-T,ACCELEROMETER,KINEMETRICS|213833.0|1.0|M/S**2|200.0|2016-11-07T00:00:00|
CI|AVM||HHE|35.06562|-116.615494|708.5|0.5|90.0|0.0|MBB-1,VELOCITY-TRANSDUCER,METROZET|314573000.0|1.0|M/S|100.0|2016-06-09T20:15:00|
CI|AVM||HHN|35.06562|-116.615494|708.5|0.5|0.0|0.0|MBB-1,VELOCITY-TRANSDUCER,METROZET|314573000.0|1.0|M/S|100.0|2016-06-09T20:15:00|
CI|AVM||HHZ|35.06562|-116.615494|708.5|0.5|0.0|-90.0|MBB-1,VELOCITY-TRANSDUCER,METROZET|314573000.0|1.0|M/S|100.0|2016-06-09T20:15:00|
CI|AVM||HNE|35.06562|-116.615494|708.5|0.0|90.0|0.0|EPISENSOR ES-T,ACCELEROMETER,KINEMETRICS|213636.0|1.0|M/S**2|100.0|2016-06-09T20:15:00|
