#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
CE|22074||HNE|34.9037|-116.8243|588.0|0.0|90.0|0.0|Kinemetrics_FBA-11|213744.03778|1.0|M/S**2|200.0|1999-11-19T00:00:00|3000-01-01T00:00:00
CE|22074||HNN|34.9037|-116.8243|588.0|0.0|360.0|0.0|Kinemetrics_FBA-11|214079.58572|1.0|M/S**2|200.0|1999-11-19T00:00:00|3000-01-01T00:00:00
CE|22074||HNZ|34.9037|-116.8243|588.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|213744.03778|1.0|M/S**2|200.0|1999-11-19T00:00:00|3000-01-01T00:00:00
CE|22121||HNE|34.8602|-116.892|627.0|0.0|90.0|0.0|Kinemetrics_FBA-11|214750.6816|1.0|M/S**2|200.0|2003-08-19T00:00:00|2020-02-04T00:00:00
CE|22121||HNN|34.8602|-116.892|627.0|0.0|360.0|0.0|Kinemetrics_FBA-11|213408.48984|1.0|M/S**2|200.0|2003-08-19T00:00:00|2020-02-04T00:00:00
CE|22121||HNZ|34.8602|-116.892|627.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|214750.6816|1.0|M/S**2|200.0|2003-08-19T00:00:00|2020-02-04T00:00:00
CE|23559||HNE|34.8872|-117.048|696.0|0.0|90.0|0.0|STMicroelectronics_LIS344ALH|433.00175|1.0|M/S**2|200.0|2018-03-20T00:00:00|3000-01-01T00:00:00
CE|23559||HNN|34.8872|-117.048|696.0|0.0|360.0|0.0|STMicroelectronics_LIS344ALH|425.9801|1.0|M/S**2|200.0|2018-03-20T00:00:00|3000-01-01T00:00:00
CE|23559||HNZ|34.8872|-117.048|696.0|0.0|0.0|-90.0|STMicroelectronics_LIS344ALH|440.0234|1.0|M/S**2|200.0|2018-03-20T00:00:00|3000-01-01T00:00:00
CE|23956||HNE|34.9288|-117.1981|662.0|0.0|90.0|0.0|Kinemetrics_FBA-11|214415.13366|1.0|M/S**2|200.0|2011-05-18T00:00:00|3000-01-01T00:00:00
CE|23956||HNN|34.9288|-117.1981|662.0|0.0|360.0|0.0|Kinemetrics_FBA-11|214079.58572|1.0|M/S**2|200.0|2011-05-18T00:00:00|3000-01-01T00:00:00
CE|23956||HNZ|34.9288|-117.1981|662.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|214415.13366|1.0|M/S**2|200.0|2011-05-18T00:00:00|3000-01-01T00:00:00
CE|23957||HNE|34.7436|-117.3345|739.0|0.0|90.0|0.0|Kinemetrics_FBA-11|213744.03778|1.0|M/S**2|200.0|2003-04-23T00:00:00|2021-03-04T00:00:00
CE|23957||HNN|34.7436|-117.3345|739.0|0.0|360.0|0.0|Kinemetrics_FBA-11|214079.58572|1.0|M/S**2|200.0|2003-04-23T00:00:00|2021-03-04T00:00:00
CE|23957||HNZ|34.7436|-117.3345|739.0|0.0|0.0|-90.0|Kinemetrics_FBA-11|214415.13366|1.0|M/S**2|200.0|2003-04-23T00:00:00|2021-03-04T00:00:00
CE|24269||HNE|34.956|-118.159|789.0|0.0|90.0|0.0|Kinemetrics_FBA-11|104.448|1.0|M/S**2|200.0|2008-11-19T00:00:00|3000-01-01T00:00:00
CE|24269||HNN|34.956|-118.159|789.0|0.0|360.0|0.0|Kinemetrics_FBA-11|104.52992|1.0|M/S**2|200.0|2008-11-19T00:00:00|3000-01-01T00:00:00
